Frame,Time (s),X (µm),Y (µm)
635,50.8,34.448,19.749
636,50.88,34.375,19.769
637,50.96,34.254,19.29
638,51.04,34.047,19.353
639,51.12,33.811,19.444
640,51.2,33.66,20.004
641,51.28,33.833,20.182
642,51.36,33.467,20.052
643,51.44,33.412,20.132
644,51.52,33.005,20.313
645,51.6,32.961,20.268
646,51.68,33.01,20.253
647,51.76,32.666,20.631
648,51.84,32.508,20.766
649,51.92,32.539,20.91
650,52.0,32.757,20.645
651,52.08,33.025,20.768
652,52.16,32.995,20.247
653,52.24,32.715,20.595
654,52.32,32.259,20.475
655,52.4,32.479,20.662
656,52.48,32.87,21.06
657,52.56,32.973,20.772
658,52.64,33.413,21.106
659,52.72,33.285,21.184
660,52.8,33.175,21.519
661,52.88,33.616,21.435
662,52.96,33.332,21.261
663,53.04,33.502,21.637
664,53.12,33.61,21.773
665,53.2,33.653,21.806
666,53.28,34.14,21.508
667,53.36,33.892,21.894
668,53.44,33.771,21.822
669,53.52,33.183,21.781
670,53.6,32.888,21.61
671,53.68,32.744,21.633
672,53.76,32.634,21.818
673,53.84,32.577,21.82
674,53.92,32.66,21.815
675,54.0,32.472,21.682
676,54.08,31.915,22.112
677,54.16,31.957,22.579
678,54.24,32.075,22.516
679,54.32,31.748,22.289
680,54.4,31.526,22.379
681,54.48,32.022,21.948
682,54.56,32.311,22.032
683,54.64,32.617,22.122
684,54.72,32.805,22.182
685,54.8,32.846,22.637
686,54.88,32.702,23.159
687,54.96,32.863,23.297
688,55.04,32.806,23.213
689,55.12,32.682,23.513
690,55.2,32.679,23.842
691,55.28,32.655,23.527
692,55.36,32.906,23.341
693,55.44,32.635,23.284
694,55.52,33.337,22.84
695,55.6,33.052,22.547
696,55.68,32.932,23.013
697,55.76,33.197,22.68
698,55.84,32.961,22.927
699,55.92,32.825,22.719
700,56.0,32.833,23.008
701,56.08,31.996,23.111
702,56.16,31.853,23.374
703,56.24,31.581,23.006
704,56.32,31.511,23.101
705,56.4,31.651,22.959
706,56.48,31.831,23.185
707,56.56,32.255,23.397
708,56.64,32.662,23.459
709,56.72,32.953,23.439
710,56.8,32.942,23.451
711,56.88,33.237,23.535
712,56.96,32.957,23.409
713,57.04,32.93,23.303
714,57.12,33.336,23.14
715,57.2,33.56,22.864
716,57.28,33.166,23.165
717,57.36,33.0,22.815
718,57.44,33.256,23.187
719,57.52,33.431,23.395
720,57.6,33.737,22.938
721,57.68,33.24,22.447
722,57.76,32.884,22.467
723,57.84,32.815,22.187
724,57.92,32.542,22.238
725,58.0,32.536,22.512
726,58.08,32.542,22.624
727,58.16,32.644,22.577
728,58.24,32.61,22.54
729,58.32,32.773,22.958
730,58.4,32.998,22.872
731,58.48,33.046,23.364
732,58.56,32.706,23.942
733,58.64,33.076,23.857
734,58.72,33.142,23.956
735,58.8,33.268,24.446
736,58.88,33.322,24.273
737,58.96,32.873,24.411
738,59.04,33.042,24.722
739,59.12,32.862,24.458
740,59.2,32.524,24.582
741,59.28,32.892,24.641
742,59.36,32.811,24.52
743,59.44,32.898,24.969
744,59.52,33.155,24.956
745,59.6,33.617,25.608
746,59.68,33.111,25.831
747,59.76,32.906,25.663
748,59.84,33.102,25.762
749,59.92,32.919,25.578
